#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.91869     1.91869           0
           2      1.6342     1.77644    0.100584
           3     1.63722     1.73004   0.0770211
           4     1.65468      1.7112   0.0600254
           5     1.61827     1.69261    0.050816
           6     1.62629     1.68156   0.0435322
           7     1.60331     1.67038    0.038722
           8     1.66246     1.66939   0.0338944
           9     1.64675     1.66687   0.0302216
          10     1.65273     1.66546   0.0272325
          11     1.61959     1.66129   0.0250741
          12     1.67433     1.66238   0.0230082
          13     1.72279     1.66702   0.0217026
          14     1.58632     1.66126   0.0209039
          15     1.59044     1.65654   0.0200365
          16     1.61406     1.65388   0.0189593
          17     1.62024      1.6519    0.017947
          18     1.60646     1.64938   0.0171266
          19     1.64077     1.64893   0.0162312
          20     1.59864     1.64641   0.0156131
          21     1.56785     1.64267   0.0153113
          22     1.65893     1.64341   0.0146332
          23     1.59886     1.64147   0.0141245
          24     1.68282      1.6432   0.0136407
          25     1.56264     1.63997   0.0134703
          26     1.66437     1.64091   0.0129849
          27     1.66276     1.64172   0.0125291
          28     1.71653     1.64439   0.0123632
          29     1.69049     1.64598   0.0120387
          30     1.64317     1.64589   0.0116377
          31     1.65126     1.64606   0.0112636
          32     1.68029     1.64713   0.0109623
          33     1.61779     1.64624   0.0106661
          34     1.57537     1.64416   0.0105541
          35     1.68121     1.64522   0.0103055
          36     1.58053     1.64342   0.0101747
          37     1.60334     1.64234  0.00995721
          38     1.60431     1.64134  0.00974533
          39     1.63747     1.64124  0.00949595
          40     1.62553     1.64084  0.00926666
          41     1.55699      1.6388  0.00926362
          42     1.66137     1.63934  0.00905863
          43     1.61587     1.63879  0.00886439
          44     1.56974     1.63722  0.00880076
          45     1.65823     1.63769  0.00861756
          46     1.65304     1.63802  0.00843668
          47     1.63499     1.63796  0.00825743
          48     1.57161     1.63658  0.00820025
          49     1.61183     1.63607  0.00804844
          50     1.60579     1.63546  0.00791021
          51     1.60232     1.63481  0.00778177
          52     1.59041     1.63396  0.00767883
          53     1.62083     1.63371  0.00753794
          54     1.61075     1.63329  0.00741033
          55     1.59282     1.63255  0.00731203
          56     1.65745       1.633  0.00719496
          57     1.62952     1.63294  0.00706899
          58     1.54086     1.63135  0.00712315
          59     1.57071     1.63032  0.00707618
          60     1.60191     1.62985  0.00697407
          61     1.63247     1.62989  0.00685987
          62     1.68295     1.63075   0.0068024
          63     1.61907     1.63056  0.00669695
          64     1.62833     1.63053   0.0065924
          65     1.61996     1.63036  0.00649298
          66     1.67892      1.6311  0.00643614
          67     1.64556     1.63131   0.0063437
          68      1.6459     1.63153  0.00625403
          69     1.53696     1.63016  0.00631177
          70     1.62908     1.63014  0.00622163
          71     1.65116     1.63044  0.00614104
          72     1.62014      1.6303  0.00605741
          73     1.62814     1.63027  0.00597451
          74     1.64722      1.6305  0.00589816
          75     1.65832     1.63087  0.00583117
          76      1.6237     1.63077  0.00575521
          77     1.62451     1.63069  0.00568104
          78      1.6258     1.63063  0.00560855
          79       1.607     1.63033  0.00554553
          80     1.56723     1.62954  0.00553202
          81     1.60878     1.62928  0.00546965
          82      1.6427     1.62945   0.0054054
          83     1.63079     1.62946   0.0053403
          84      1.5698     1.62875  0.00532375
          85     1.64236     1.62891  0.00526353
          86     1.60179      1.6286  0.00521177
          87      1.6847     1.62924   0.0051916
          88     1.66551     1.62966  0.00514893
          89     1.64806     1.62986  0.00509523
          90      1.6792     1.63041  0.00506802
          91     1.71203     1.63131  0.00509107
          92     1.59794     1.63094  0.00504863
          93      1.5709      1.6303  0.00503546
          94     1.63849     1.63039  0.00498265
          95     1.58695     1.62993  0.00495113
          96     1.57437     1.62935  0.00493327
          97     1.66824     1.62975  0.00489868
          98     1.60995     1.62955  0.00485286
          99     1.64081     1.62966  0.00480517
         100     1.60635     1.62943  0.00476277
         101     1.58173     1.62896  0.00473897
         102      1.6083     1.62875  0.00469683
         103     1.59719     1.62845  0.00466122
         104     1.63401      1.6285   0.0046167
         105      1.6292     1.62851  0.00457274
         106     1.60778     1.62831  0.00453378
         107     1.61196     1.62816  0.00449398
         108     1.69115     1.62874  0.00449006
         109     1.67576     1.62917  0.00446954
         110     1.58865     1.62881  0.00444407
         111     1.65379     1.62903  0.00440972
         112     1.62077     1.62896  0.00437097
         113     1.59578     1.62866  0.00434214
         114       1.663     1.62896  0.00431448
         115     1.63174     1.62899  0.00427703
         116     1.66711     1.62932  0.00425277
         117      1.5595     1.62872  0.00425808
         118     1.57801     1.62829  0.00424363
         119      1.6787     1.62871  0.00422906
         120     1.62443     1.62868  0.00419397
         121     1.64868     1.62884  0.00416257
         122     1.60616     1.62866   0.0041326
         123     1.63414      1.6287  0.00409924
         124     1.70415     1.62931  0.00411109
         125     1.64369     1.62943  0.00407981
         126     1.60773     1.62925  0.00405106
         127     1.62923     1.62925  0.00401917
         128     1.66134      1.6295  0.00399557
         129     1.63293     1.62953  0.00396469
         130     1.59204     1.62924  0.00394467
         131     1.62782     1.62923  0.00391457
         132     1.61737     1.62914  0.00388594
         133     1.60052     1.62893  0.00386268
         134     1.59404     1.62867  0.00384262
         135     1.64378     1.62878  0.00381578
         136      1.6186      1.6287  0.00378846
         137     1.64134      1.6288  0.00376193
         138     1.64162     1.62889  0.00373582
         139     1.60902     1.62875  0.00371168
         140     1.62696     1.62873  0.00368519
         141     1.68962     1.62917  0.00368426
         142     1.69799     1.62965  0.00369006
         143      1.6699     1.62993  0.00367498
         144     1.59262     1.62967  0.00365858
         145     1.63285     1.62969  0.00363341
         146     1.67337     1.62999  0.00362082
         147     1.61021     1.62986  0.00359869
         148     1.61189     1.62974  0.00357642
         149     1.65508     1.62991  0.00355646
         150     1.59284     1.62966  0.00354132
         151     1.55723     1.62918  0.00355021
         152     1.67372     1.62947  0.00353892
         153     1.60149     1.62929  0.00352052
         154     1.61208     1.62918  0.00349943
         155     1.56412     1.62876  0.00350193
         156     1.60625     1.62861  0.00348246
         157     1.64073     1.62869  0.00346113
         158     1.55176      1.6282  0.00347331
         159      1.6049     1.62806  0.00345456
         160     1.59875     1.62788  0.00343782
         161      1.6494     1.62801  0.00341906
         162     1.67984     1.62833  0.00341289
         163     1.65955     1.62852  0.00339733
         164     1.63936     1.62859  0.00337725
         165     1.60992     1.62847  0.00335868
         166     1.59049     1.62824  0.00334623
         167      1.5909     1.62802  0.00333366
         168     1.64847     1.62814  0.00331604
         169     1.64077     1.62822  0.00329726
         170     1.60397     1.62807  0.00328095
         171     1.59186     1.62786  0.00326859
         172     1.61801     1.62781  0.00325009
         173     1.55561     1.62739  0.00325798
         174       1.536     1.62686  0.00328131
         175     1.54027     1.62637  0.00329967
         176     1.57675     1.62609  0.00329294
         177     1.72191     1.62663  0.00331854
         178     1.63678     1.62668  0.00330039
         179     1.63633     1.62674  0.00328239
         180     1.64435     1.62684  0.00326561
         181     1.65864     1.62701  0.00325229
         182     1.63421     1.62705  0.00323466
         183     1.61031     1.62696  0.00321828
         184     1.64405     1.62705  0.00320213
         185     1.66108     1.62724   0.0031901
         186     1.58768     1.62702  0.00318003
         187     1.61932     1.62698  0.00316329
         188     1.62091     1.62695  0.00314663
         189     1.66256     1.62714  0.00313562
         190     1.64644     1.62724  0.00312076
         191     1.66075     1.62742  0.00310935
         192      1.6496     1.62753   0.0030953
         193     1.65894     1.62769  0.00308354
         194      1.5992     1.62755  0.00307114
         195     1.54182     1.62711  0.00308669
         196     1.63714     1.62716  0.00307137
         197      1.6281     1.62716  0.00305578
         198     1.59503       1.627  0.00304466
         199     1.61015     1.62692  0.00303053
         200     1.61776     1.62687  0.00301573
         201     1.61929     1.62683  0.00300096
         202     1.60456     1.62672  0.00298813
         203     1.59399     1.62656  0.00297776
         204       1.628     1.62657  0.00296317
         205     1.70688     1.62696   0.0029745
         206     1.68336     1.62723  0.00297263
         207      1.6021     1.62711  0.00296075
         208     1.59697     1.62697  0.00295006
         209     1.65503      1.6271    0.002939
         210      1.6232     1.62708  0.00292506
         211     1.62218     1.62706  0.00291129
         212     1.61777     1.62702  0.00289789
         213     1.52649     1.62655  0.00292247
         214     1.58782     1.62636  0.00291441
         215     1.62595     1.62636  0.00290085
         216     1.64303     1.62644  0.00288845
         217     1.63365     1.62647  0.00287533
         218     1.66565     1.62665  0.00286775
         219     1.61131     1.62658  0.00285551
         220     1.70766     1.62695  0.00286622
         221     1.64467     1.62703  0.00285437
         222     1.64788     1.62712  0.00284305
         223     1.61505     1.62707  0.00283082
         224      1.5853     1.62688  0.00282432
         225     1.54331     1.62651  0.00283609
         226     1.58172     1.62631  0.00283046
