#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.17363     1.17363           0
           2      1.2186     1.19611   0.0159001
           3     1.19629     1.19617   0.0106002
           4     1.21782     1.20158  0.00922872
           5     1.20578     1.20242  0.00742103
           6     1.20945     1.20359  0.00627594
           7     1.20507      1.2038  0.00538292
           8     1.21151     1.20477  0.00479541
           9     1.22523     1.20704  0.00477138
          10     1.20385     1.20672  0.00430488
          11     1.20081     1.20619  0.00394691
          12     1.21214     1.20668  0.00364904
          13     1.21155     1.20706   0.0033875
          14       1.192     1.20598  0.00331186
          15     1.20603     1.20598  0.00309107
          16     1.21338     1.20645  0.00293229
          17     1.20277     1.20623  0.00276778
          18     1.20912     1.20639  0.00261868
          19     1.22665     1.20746  0.00268926
          20      1.2025     1.20721   0.0025662
          21      1.2183     1.20774  0.00249776
          22     1.18999     1.20693  0.00251117
          23     1.21201     1.20715  0.00241169
          24     1.21521     1.20749  0.00233444
          25     1.21248     1.20769  0.00224959
          26     1.20541      1.2076  0.00216477
          27     1.20193     1.20739  0.00209474
          28     1.21494     1.20766  0.00203721
          29     1.20261     1.20748  0.00197439
          30     1.21958     1.20789  0.00194932
          31     1.20815      1.2079  0.00188645
          32     1.19228     1.20741  0.00188961
          33     1.20787     1.20742   0.0018324
          34     1.20451     1.20734   0.0017805
          35     1.23274     1.20806  0.00187177
          36     1.19549     1.20771  0.00185205
          37     1.20442     1.20762  0.00180413
          38      1.2134     1.20778  0.00176306
          39     1.21055     1.20785  0.00171928
          40     1.20412     1.20775  0.00167883
          41     1.22595      1.2082   0.0016955
          42     1.20889     1.20821  0.00165521
          43     1.18403     1.20765   0.0017096
          44     1.21152     1.20774    0.001673
          45     1.21265     1.20785  0.00163937
          46     1.18159     1.20728  0.00170021
          47     1.21972     1.20754  0.00168452
          48     1.19108      1.2072    0.001684
          49     1.20595     1.20717  0.00164982
          50     1.21891     1.20741  0.00163343
          51     1.22316     1.20772  0.00163034
          52     1.16112     1.20682  0.00182873
          53     1.21522     1.20698  0.00180108
          54      1.2175     1.20717  0.00177824
          55     1.21377     1.20729  0.00174995
          56     1.20078     1.20718  0.00172255
          57     1.20992     1.20723  0.00169301
          58     1.18762     1.20689  0.00169723
          59     1.21226     1.20698   0.0016709
          60     1.23391     1.20743  0.00170225
          61     1.18369     1.20704  0.00171825
          62     1.19727     1.20688  0.00169774
          63     1.21895     1.20707  0.00168157
          64      1.2206     1.20728  0.00166853
          65     1.20078     1.20718  0.00164586
          66     1.20357     1.20713  0.00162183
          67     1.22881     1.20745  0.00162958
          68      1.1716     1.20693  0.00168877
          69     1.20202     1.20686  0.00166579
          70      1.2291     1.20717  0.00167204
          71     1.20898      1.2072  0.00164868
          72      1.2083     1.20721  0.00162585
          73      1.2012     1.20713  0.00160566
          74     1.20356     1.20708  0.00158469
          75     1.22037     1.20726  0.00157344
          76     1.19053     1.20704  0.00156806
          77     1.22003     1.20721  0.00155674
          78     1.20356     1.20716  0.00153748
          79     1.19259     1.20698  0.00152905
          80     1.21822     1.20712  0.00151638
          81     1.22096     1.20729  0.00150725
          82     1.21702     1.20741  0.00149354
          83     1.19314     1.20724   0.0014854
