#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.45096    -5.45096           0
           2    -5.44864     -5.4498 0.000819845
           3    -5.44898    -5.44952  0.00058974
           4    -5.44765    -5.44906 0.000600218
           5    -5.44965    -5.44918 0.000491826
           6    -5.44988    -5.44929 0.000423741
           7    -5.44926    -5.44929 0.000363241
           8    -5.44801    -5.44913 0.000351332
           9    -5.44815    -5.44902 0.000328607
          10    -5.44772    -5.44889 0.000320448
          11    -5.44706    -5.44872 0.000331613
          12    -5.44742    -5.44861 0.000321143
          13    -5.44946    -5.44868 0.000302904
          14     -5.4461     -5.4485 0.000332651
          15     -5.4473    -5.44842 0.000319862
          16    -5.44785    -5.44838 0.000301797
          17    -5.44826    -5.44837 0.000284131
          18    -5.44774    -5.44834 0.000270545
          19    -5.44862    -5.44835 0.000256699
          20    -5.44796    -5.44833 0.000244624
          21    -5.44696    -5.44827 0.000241554
          22    -5.44743    -5.44823  0.00023353
          23    -5.44755     -5.4482 0.000225242
          24    -5.44899    -5.44823 0.000218267
          25    -5.44764    -5.44821  0.00021081
          26    -5.44714    -5.44817 0.000206657
          27    -5.44666    -5.44811 0.000206383
          28    -5.44731    -5.44808 0.000201001
          29    -5.44673    -5.44804 0.000199434
          30    -5.44879    -5.44806 0.000194368
          31    -5.44767    -5.44805 0.000188506
          32    -5.44772    -5.44804 0.000182896
          33     -5.4467      -5.448  0.00018179
          34    -5.44825    -5.44801 0.000176597
          35    -5.44674    -5.44797 0.000175217
          36    -5.44606    -5.44792 0.000178207
          37    -5.44846    -5.44793 0.000173984
          38    -5.44678     -5.4479 0.000172009
          39    -5.44954    -5.44794 0.000172636
          40    -5.44994    -5.44799 0.000175372
          41    -5.44929    -5.44802  0.00017393
          42    -5.44889    -5.44805 0.000171016
          43    -5.44675    -5.44802 0.000169667
          44    -5.44767    -5.44801 0.000165991
          45    -5.44726    -5.44799 0.000163138
          46    -5.44803    -5.44799 0.000159594
          47      -5.448    -5.44799 0.000156198
          48    -5.44793    -5.44799  0.00015295
          49    -5.44899    -5.44801 0.000151185
          50    -5.44854    -5.44802 0.000148537
          51    -5.44912    -5.44804 0.000147174
          52    -5.44653    -5.44801 0.000147192
          53    -5.44747      -5.448 0.000144768
          54    -5.44824    -5.44801 0.000142152
          55     -5.4491    -5.44803 0.000140946
          56    -5.44729    -5.44801 0.000139042
          57    -5.44774    -5.44801 0.000136686
          58    -5.44853    -5.44802 0.000134626
          59    -5.44824    -5.44802 0.000132395
          60    -5.44609    -5.44799 0.000134045
          61    -5.44705    -5.44797 0.000132737
          62    -5.44785    -5.44797 0.000130613
          63    -5.44635    -5.44795 0.000131066
          64    -5.44784    -5.44795 0.000129028
          65    -5.44651    -5.44792 0.000128914
          66    -5.44692    -5.44791 0.000127856
