#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.2         1.2           0
           2         1.2         1.2           0
           3         1.2         1.2           0
           4         1.2         1.2           0
           5         1.2         1.2           0
           6         1.2         1.2 8.60319e-09
           7         1.2         1.2 7.96501e-09
           8         1.2         1.2 7.45058e-09
           9         1.2         1.2 7.02447e-09
          10         1.2         1.2   6.664e-09
          11         1.2         1.2 6.35388e-09
          12         1.2         1.2 6.08337e-09
          13         1.2         1.2 4.13284e-09
          14         1.2         1.2  3.9825e-09
          15         1.2         1.2           0
          16         1.2         1.2           0
          17         1.2         1.2           0
          18         1.2         1.2 3.51224e-09
          19         1.2         1.2 3.41856e-09
          20         1.2         1.2   3.332e-09
          21         1.2         1.2  3.2517e-09
          22         1.2         1.2 3.17694e-09
          23         1.2         1.2 3.10711e-09
          24         1.2         1.2 3.04169e-09
          25         1.2         1.2 2.98023e-09
          26         1.2         1.2 2.92236e-09
          27         1.2         1.2 2.86773e-09
          28         1.2         1.2  3.9825e-09
          29         1.2         1.2 5.53415e-09
          30         1.2         1.2 5.44113e-09
          31         1.2         1.2  7.0809e-09
          32         1.2         1.2 6.96938e-09
          33         1.2         1.2 6.86297e-09
          34         1.2         1.2 7.66658e-09
          35         1.2         1.2 7.55627e-09
          36         1.2         1.2 7.45058e-09
          37         1.2         1.2 8.48613e-09
          38         1.2         1.2 8.37373e-09
          39         1.2         1.2 8.60319e-09
          40         1.2         1.2 9.12506e-09
          41         1.2         1.2 9.01309e-09
          42         1.2         1.2 8.90515e-09
          43         1.2         1.2 8.80099e-09
          44         1.2         1.2 9.26229e-09
          45         1.2         1.2 8.88534e-09
          46         1.2         1.2 8.78823e-09
          47         1.2         1.2 8.69423e-09
          48         1.2         1.2 8.60319e-09
          49         1.2         1.2 9.27895e-09
          50         1.2         1.2 9.18569e-09
          51         1.2         1.2 9.09519e-09
          52         1.2         1.2 9.24131e-09
          53         1.2         1.2 9.15371e-09
          54         1.2         1.2 9.06856e-09
          55         1.2         1.2 8.98574e-09
          56         1.2         1.2 8.90515e-09
          57         1.2         1.2 8.82669e-09
          58         1.2         1.2 8.75026e-09
          59         1.2         1.2 8.67579e-09
          60         1.2         1.2  9.0231e-09
          61         1.2         1.2 8.94884e-09
          62         1.2         1.2 8.87637e-09
          63         1.2         1.2 8.80565e-09
          64         1.2         1.2 8.73658e-09
          65         1.2         1.2 8.66912e-09
          66         1.2         1.2 8.60319e-09
          67         1.2         1.2 8.53875e-09
          68         1.2         1.2 8.47573e-09
          69         1.2         1.2 8.96945e-09
          70         1.2         1.2 8.90515e-09
          71         1.2         1.2 8.84221e-09
          72         1.2         1.2 8.78059e-09
          73         1.2         1.2 8.72025e-09
          74         1.2         1.2 8.66112e-09
          75         1.2         1.2 8.60319e-09
          76         1.2         1.2  8.5464e-09
          77         1.2         1.2 8.49072e-09
          78         1.2         1.2 8.43612e-09
          79         1.2         1.2 8.38256e-09
          80         1.2         1.2    8.33e-09
          81         1.2         1.2 8.27842e-09
          82         1.2         1.2 8.55057e-09
          83         1.2         1.2  8.4989e-09
          84         1.2         1.2 8.44816e-09
          85         1.2         1.2 8.39832e-09
          86         1.2         1.2 8.50256e-09
          87         1.2         1.2 8.45356e-09
