#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.41099    -3.41099           0
           2    -3.40702    -3.40901  0.00140319
           3     -3.4077    -3.40857  0.00100062
           4    -3.40833    -3.40851 0.000752248
           5    -3.40768    -3.40835  0.00061981
           6    -3.40849    -3.40837 0.000516976
           7    -3.40807    -3.40833 0.000444931
           8    -3.41005    -3.40854 0.000438246
           9    -3.41187    -3.40891 0.000522613
          10     -3.4089    -3.40891 0.000470353
          11    -3.40959    -3.40897 0.000431638
          12    -3.40901    -3.40898  0.00039568
          13    -3.40861    -3.40895 0.000366237
          14    -3.40677    -3.40879 0.000371705
          15    -3.40962    -3.40885 0.000350989
          16    -3.41317    -3.40912 0.000420238
          17    -3.41041    -3.40919 0.000402347
          18     -3.4112    -3.40931 0.000395183
          19    -3.40724     -3.4092 0.000388986
          20     -3.4071    -3.40909 0.000383358
          21    -3.40522    -3.40891 0.000407107
          22    -3.40763    -3.40885 0.000392725
          23    -3.40954    -3.40888 0.000376789
          24    -3.41025    -3.40894 0.000365397
          25    -3.40876    -3.40893 0.000350846
          26    -3.41095    -3.40901 0.000345886
          27    -3.40852    -3.40899 0.000333554
          28    -3.40773    -3.40894 0.000324645
          29    -3.40914    -3.40895 0.000313524
          30    -3.40864    -3.40894  0.00030325
          31    -3.41128    -3.40902 0.000302703
          32    -3.41334    -3.40915 0.000322001
          33     -3.4094    -3.40916 0.000312333
          34    -3.40831    -3.40913 0.000304143
          35    -3.40651    -3.40906  0.00030453
          36    -3.40615    -3.40898 0.000306598
          37    -3.40706    -3.40893 0.000302673
          38    -3.40773     -3.4089 0.000296346
          39    -3.40788    -3.40887  0.00028989
          40    -3.40757    -3.40884 0.000284464
          41    -3.40965    -3.40886 0.000278213
          42    -3.41013    -3.40889 0.000273237
          43    -3.40916    -3.40889 0.000266958
          44    -3.40872    -3.40889 0.000260918
          45    -3.40908    -3.40889 0.000255155
          46    -3.40892    -3.40889 0.000249609
          47    -3.40406    -3.40879 0.000264641
          48     -3.4077    -3.40877 0.000260105
          49    -3.40821    -3.40876 0.000255048
          50    -3.40615     -3.4087 0.000255208
          51    -3.40776    -3.40869 0.000250869
          52    -3.40929     -3.4087 0.000246317
          53    -3.40826    -3.40869 0.000241806
          54    -3.40677    -3.40865 0.000239918
          55    -3.40492    -3.40859 0.000244971
          56    -3.40581    -3.40854 0.000245579
          57    -3.40609    -3.40849 0.000244988
          58    -3.40718    -3.40847 0.000241803
          59    -3.40835    -3.40847 0.000237714
          60      -3.409    -3.40848 0.000233915
          61    -3.40992     -3.4085  0.00023127
          62    -3.41158    -3.40855 0.000232803
          63    -3.40792    -3.40854 0.000229323
          64    -3.40561     -3.4085 0.000230277
          65    -3.40686    -3.40847 0.000228112
          66    -3.40906    -3.40848 0.000224831
          67    -3.40617    -3.40844 0.000224093
          68    -3.40777    -3.40843 0.000221016
          69    -3.40758    -3.40842 0.000218161
          70    -3.41029    -3.40845 0.000216665
          71     -3.4061    -3.40842 0.000216116
          72    -3.40531    -3.40837 0.000217376
          73    -3.40691    -3.40835 0.000215326
          74    -3.40823    -3.40835 0.000212423
          75    -3.40549    -3.40831 0.000212982
          76    -3.40763     -3.4083 0.000210367
          77    -3.40636    -3.40828 0.000209147
          78    -3.40744    -3.40827 0.000206744
          79      -3.404    -3.40821 0.000211055
          80     -3.4077    -3.40821 0.000208513
          81     -3.4114    -3.40825  0.00020964
          82      -3.411    -3.40828  0.00020975
          83    -3.40758    -3.40827 0.000207394
          84    -3.40834    -3.40827 0.000204927
          85    -3.40655    -3.40825 0.000203516
          86    -3.41119    -3.40829 0.000203992
          87    -3.40905     -3.4083 0.000201834
          88    -3.40839     -3.4083 0.000199544
          89    -3.40894     -3.4083 0.000197432
          90    -3.40732    -3.40829 0.000195538
          91    -3.40552    -3.40826 0.000195741
          92    -3.40552    -3.40823 0.000195867
          93    -3.41005    -3.40825 0.000194728
          94    -3.40877    -3.40826 0.000192734
          95    -3.40934    -3.40827 0.000191043
          96    -3.40746    -3.40826  0.00018924
          97    -3.41114    -3.40829 0.000189602
          98    -3.40819    -3.40829  0.00018767
          99    -3.40609    -3.40827 0.000187081
         100    -3.40652    -3.40825 0.000186024
         101    -3.40525    -3.40822 0.000186545
         102    -3.40863    -3.40822 0.000184759
         103    -3.40931    -3.40823 0.000183267
         104       -3.41    -3.40825 0.000182293
         105    -3.40769    -3.40825 0.000180636
         106    -3.40658    -3.40823  0.00017961
         107    -3.41034    -3.40825 0.000179013
         108    -3.41244    -3.40829 0.000181517
         109    -3.40785    -3.40829 0.000179896
         110    -3.41029     -3.4083 0.000179185
         111    -3.40694    -3.40829 0.000177989
         112    -3.40773    -3.40829 0.000176471
         113    -3.40742    -3.40828 0.000175074
         114    -3.40657    -3.40826 0.000174179
         115    -3.40898    -3.40827 0.000172777
         116    -3.41079    -3.40829  0.00017265
         117    -3.40825    -3.40829 0.000171175
         118    -3.40689    -3.40828 0.000170134
         119    -3.40946    -3.40829 0.000168994
         120    -3.41056    -3.40831 0.000168639
         121    -3.41005    -3.40832 0.000167861
         122    -3.41208    -3.40835 0.000169287
         123    -3.41279    -3.40839 0.000171703
         124    -3.41098    -3.40841 0.000171583
         125    -3.40722     -3.4084 0.000170473
         126     -3.4054    -3.40838  0.00017077
         127     -3.4072    -3.40837 0.000169677
         128    -3.40559    -3.40835 0.000169734
         129    -3.40856    -3.40835 0.000168426
         130    -3.40858    -3.40835  0.00016714
         131    -3.41207    -3.40838 0.000168262
         132    -3.41193     -3.4084 0.000169121
         133    -3.40854    -3.40841 0.000167852
         134    -3.40836    -3.40841   0.0001666
         135    -3.40721     -3.4084   0.0001656
         136    -3.40922     -3.4084 0.000164494
         137    -3.40753     -3.4084 0.000163416
         138    -3.40919     -3.4084 0.000162334
         139    -3.40825     -3.4084  0.00016117
         140    -3.40888     -3.4084 0.000160055
         141    -3.40649    -3.40839 0.000159497
         142     -3.4098     -3.4084 0.000158682
         143    -3.40761     -3.4084  0.00015767
         144    -3.40888     -3.4084 0.000156611
         145    -3.40775    -3.40839 0.000155594
         146    -3.41059    -3.40841 0.000155252
         147    -3.40641     -3.4084 0.000154789
         148    -3.40866     -3.4084 0.000153754
         149    -3.41066    -3.40841 0.000153469
         150    -3.40995    -3.40842 0.000152786
         151    -3.40761    -3.40842 0.000151869
         152    -3.40619     -3.4084 0.000151575
         153    -3.40827     -3.4084 0.000150587
         154    -3.40786     -3.4084  0.00014965
         155     -3.4075    -3.40839 0.000148797
         156    -3.40875    -3.40839 0.000147861
         157    -3.40855     -3.4084 0.000146923
         158    -3.40966     -3.4084 0.000146211
         159     -3.4082     -3.4084 0.000145298
         160    -3.40683    -3.40839 0.000144723
         161    -3.40607    -3.40838 0.000144539
         162    -3.40776    -3.40837 0.000143697
         163     -3.4087    -3.40838 0.000142829
         164    -3.41137    -3.40839 0.000143119
         165    -3.40589    -3.40838 0.000143055
         166    -3.40841    -3.40838 0.000142194
         167     -3.4099    -3.40839 0.000141634
         168    -3.41125    -3.40841 0.000141813
         169    -3.40823     -3.4084 0.000140977
         170    -3.40586    -3.40839 0.000140943
         171     -3.4058    -3.40837  0.00014093
         172    -3.40683    -3.40837 0.000140398
         173    -3.40623    -3.40835 0.000140126
         174     -3.4072    -3.40835 0.000139477
         175    -3.40486    -3.40833 0.000140096
         176    -3.40652    -3.40832 0.000139675
         177    -3.40785    -3.40831  0.00013891
         178    -3.40861    -3.40832 0.000138139
         179     -3.4088    -3.40832 0.000137394
         180    -3.40506     -3.4083 0.000137819
         181    -3.40764     -3.4083 0.000137106
         182    -3.41172    -3.40832 0.000137634
         183    -3.41023    -3.40833 0.000137279
         184      -3.409    -3.40833 0.000136582
         185    -3.40637    -3.40832 0.000136256
         186    -3.40586    -3.40831 0.000136164
         187     -3.4105    -3.40832  0.00013594
         188    -3.41214    -3.40834 0.000136731
         189    -3.40906    -3.40834 0.000136062
         190    -3.40938    -3.40835 0.000135455
         191    -3.41042    -3.40836 0.000135182
         192    -3.40993    -3.40837 0.000134725
         193    -3.40984    -3.40837 0.000134245
         194    -3.40656    -3.40836 0.000133878
         195    -3.40975    -3.40837  0.00013338
         196    -3.41033    -3.40838 0.000133075
         197    -3.40567    -3.40837 0.000133107
         198    -3.40741    -3.40836 0.000132522
         199    -3.41099    -3.40838 0.000132514
         200    -3.40926    -3.40838 0.000131926
         201    -3.40886    -3.40838 0.000131291
         202    -3.40772    -3.40838 0.000130682
         203    -3.40631    -3.40837 0.000130434
         204    -3.40838    -3.40837 0.000129794
         205    -3.41033    -3.40838 0.000129512
         206    -3.40712    -3.40837 0.000129027
         207    -3.40654    -3.40836 0.000128706
         208    -3.40598    -3.40835 0.000128598
         209    -3.40627    -3.40834 0.000128368
         210      -3.411    -3.40836 0.000128377
         211    -3.41031    -3.40836 0.000128102
         212    -3.40708    -3.40836 0.000127642
         213    -3.40646    -3.40835 0.000127354
         214    -3.40719    -3.40834 0.000126874
