#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.782417    0.782417           0
           2    0.812398    0.797408   0.0106001
           3    0.797528    0.797448   0.0070668
           4    0.811879    0.801056  0.00615248
           5    0.803853    0.801615  0.00494735
           6      0.8063    0.802396  0.00418396
           7     0.80338    0.802536  0.00358861
           8    0.807672    0.803178  0.00319694
           9    0.816822    0.804694  0.00318092
          10    0.802569    0.804482  0.00286992
          11    0.800542    0.804124  0.00263127
          12    0.808092    0.804454  0.00243269
          13      0.8077    0.804704  0.00225833
          14    0.794666    0.803987  0.00220791
          15    0.804021    0.803989  0.00206072
          16    0.808923    0.804298  0.00195486
          17    0.801844    0.804153  0.00184519
          18    0.806082    0.804261  0.00174579
          19    0.817769    0.804971  0.00179284
          20    0.801665    0.804806   0.0017108
          21      0.8122    0.805158  0.00166517
          22    0.793324     0.80462  0.00167411
          23    0.808009    0.804768  0.00160779
          24    0.810137    0.804991  0.00155629
          25     0.80832    0.805125  0.00149972
          26    0.803607    0.805066  0.00144318
          27    0.801288    0.804926  0.00139649
          28    0.809959    0.805106  0.00135814
          29    0.801738     0.80499  0.00131626
          30    0.813054    0.805259  0.00129954
          31    0.805431    0.805264  0.00125764
          32     0.79485    0.804939  0.00125974
          33    0.805245    0.804948   0.0012216
          34    0.803006    0.804891    0.001187
          35    0.821829    0.805375  0.00124784
          36    0.796995    0.805142   0.0012347
          37    0.802947    0.805083  0.00120276
          38    0.808936    0.805184  0.00117537
          39    0.807033    0.805232  0.00114619
          40    0.802745    0.805169  0.00111922
          41    0.817297    0.805465  0.00113033
          42    0.805926    0.805476  0.00110347
          43    0.789354    0.805101  0.00113973
          44    0.807679     0.80516  0.00111533
          45    0.808431    0.805233  0.00109291
          46    0.787727    0.804852  0.00113347
          47    0.813147    0.805028  0.00112301
          48    0.794051      0.8048  0.00112266
          49    0.803964    0.804783  0.00109988
          50    0.812605    0.804939  0.00108895
          51     0.81544    0.805145  0.00108689
          52    0.774081    0.804548  0.00121916
          53    0.810148    0.804653  0.00120072
          54    0.811668    0.804783  0.00118549
          55    0.809178    0.804863  0.00116663
          56    0.800522    0.804786  0.00114837
          57    0.806613    0.804818  0.00112867
          58    0.791747    0.804592  0.00113148
          59    0.808173    0.804653  0.00111393
          60    0.822604    0.804952  0.00113483
          61    0.789126    0.804693   0.0011455
          62    0.798183    0.804588  0.00113183
          63    0.812634    0.804715  0.00112105
          64    0.813735    0.804856  0.00111235
          65    0.800519     0.80479  0.00109724
          66    0.802382    0.804753  0.00108122
          67    0.819206    0.804969  0.00108639
          68    0.781065    0.804617  0.00112585
          69     0.80135     0.80457  0.00111053
          70    0.819401    0.804782  0.00111469
          71    0.805986    0.804799  0.00109912
          72    0.805533    0.804809   0.0010839
          73    0.800801    0.804754  0.00107044
          74    0.802373    0.804722  0.00105646
          75    0.813581     0.80484  0.00104896
          76    0.793687    0.804693  0.00104537
          77    0.813352    0.804806  0.00103783
          78    0.802373    0.804775  0.00102499
          79    0.795059    0.804652  0.00101937
          80    0.812147    0.804745  0.00101092
          81    0.813971    0.804859  0.00100484
          82    0.811346    0.804938 0.000995691
          83    0.795425    0.804824  0.00099027
          84    0.789967    0.804647 0.000994149
          85    0.821992    0.804851  0.00100318
          86    0.817355    0.804996  0.00100199
          87    0.800326    0.804943 0.000991914
          88    0.800197    0.804889 0.000982107
          89    0.802118    0.804858 0.000971566
          90    0.799957    0.804803 0.000962295
          91    0.820201    0.804972 0.000966483
          92    0.810957    0.805037 0.000958165
          93    0.785898    0.804832 0.000969711
          94    0.811122    0.804899 0.000961701
          95    0.798702    0.804833 0.000953788
          96    0.798905    0.804772 0.000945849
          97    0.822486    0.804954 0.000953565
          98    0.804046    0.804945 0.000943879
          99    0.802561    0.804921 0.000934652
         100     0.79641    0.804836 0.000929173
         101    0.809221    0.804879 0.000920987
         102    0.798371    0.804815 0.000914165
         103    0.816882    0.804932 0.000912766
         104    0.797552    0.804862 0.000906744
         105     0.79732     0.80479 0.000900948
         106    0.808818    0.804828  0.00089325
         107    0.806082    0.804839 0.000884979
         108    0.798131    0.804777 0.000878961
         109    0.805805    0.804787 0.000870948
