#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.00136     1.00136           0
           2     1.01286     1.00711  0.00406483
           3      1.0529     1.02237   0.0127527
           4     1.10824     1.04384    0.020906
           5     1.13904     1.06288   0.0238694
           6     1.16245     1.07947   0.0250029
           7     1.17671     1.09337   0.0249938
           8     1.18455     1.10476     0.02433
           9     1.20848     1.11629   0.0242025
          10     1.23208     1.12787   0.0243954
          11     1.23049      1.1372   0.0238949
          12     1.21693     1.14384   0.0228088
          13     1.21511     1.14932   0.0217032
          14     1.22632     1.15482   0.0208382
          15     1.22956      1.1598   0.0200358
          16     1.23887     1.16475   0.0193834
          17     1.23896     1.16911   0.0187283
          18     1.23386     1.17271     0.01803
          19      1.2312     1.17579   0.0173419
          20     1.23239     1.17862   0.0167041
          21     1.21846     1.18052   0.0160161
          22      1.2002     1.18141    0.015313
          23     1.20753     1.18255   0.0146893
          24     1.20248     1.18338   0.0141007
          25     1.21571     1.18467   0.0135959
          26     1.20335     1.18539   0.0130919
          27     1.18916     1.18553   0.0126078
          28     1.18826     1.18563   0.0121579
          29     1.20429     1.18627   0.0117557
          30     1.20072     1.18675   0.0113737
          31     1.19495     1.18702   0.0110099
          32     1.19101     1.18714   0.0106665
          33     1.20387     1.18765   0.0103553
          34     1.23122     1.18893   0.0101297
          35      1.2348     1.19024  0.00992475
          36     1.23298     1.19143  0.00971983
          37     1.20812     1.19188  0.00946759
          38     1.19983     1.19209  0.00922076
          39     1.21868     1.19277   0.0090095
          40     1.24408     1.19405  0.00887513
          41     1.25295     1.19549  0.00877415
          42     1.27315     1.19734  0.00875794
          43     1.26586     1.19893  0.00869802
          44     1.25792     1.20027  0.00860305
          45      1.2385     1.20112  0.00845371
          46     1.24319     1.20204  0.00831926
          47     1.25512     1.20317  0.00821856
          48     1.23238     1.20377  0.00806985
          49     1.20052     1.20371  0.00790544
          50     1.21018     1.20384  0.00774839
          51     1.23088     1.20437  0.00761458
          52     1.23658     1.20499  0.00749331
          53     1.24935     1.20582  0.00739854
          54     1.26488     1.20692  0.00734191
          55       1.272      1.2081  0.00730315
          56     1.26885     1.20919  0.00725287
          57     1.25768     1.21004  0.00717535
          58      1.2391     1.21054  0.00706911
          59     1.23647     1.21098  0.00696295
          60     1.22899     1.21128  0.00685337
          61     1.24099     1.21176   0.0067583
          62      1.2578     1.21251  0.00668995
          63     1.26543     1.21335   0.0066363
          64     1.27797     1.21436  0.00660897
          65     1.27177     1.21524  0.00656606
          66     1.25891      1.2159  0.00649983
          67     1.23558      1.2162  0.00640946
          68     1.24875     1.21667  0.00633305
          69     1.27331     1.21749  0.00629423
          70     1.26892     1.21823  0.00624704
          71     1.26736     1.21892  0.00619727
          72     1.26035      1.2195  0.00613784
          73      1.2576     1.22002  0.00607591
          74     1.24009     1.22029  0.00599985
          75     1.21544     1.22023   0.0059202
          76     1.21272     1.22013  0.00584313
          77     1.23713     1.22035  0.00577142
          78     1.25555      1.2208  0.00571505
          79     1.24542     1.22111  0.00565119
          80      1.2267     1.22118  0.00558099
          81     1.23419     1.22134  0.00551439
          82     1.25165     1.22171  0.00545952
          83     1.25996     1.22217  0.00541316
          84     1.27583     1.22281  0.00538628
          85     1.26348     1.22329  0.00534413
          86     1.25286     1.22363  0.00529304
          87     1.23944     1.22381  0.00523531
          88     1.22546     1.22383  0.00517586
          89     1.21431     1.22373  0.00511881
          90      1.2243     1.22373  0.00506193
          91     1.21772     1.22367  0.00500674
          92     1.21785      1.2236  0.00495272
          93       1.208     1.22344   0.0049023
          94     1.20243     1.22321  0.00485524
          95     1.20987     1.22307  0.00480617
          96     1.21946     1.22303  0.00475625
          97     1.22237     1.22303  0.00470722
          98     1.20165     1.22281  0.00466424
          99     1.20426     1.22262  0.00462089
         100     1.20487     1.22244  0.00457809
         101     1.22554     1.22247  0.00453286
         102     1.25098     1.22275  0.00449703
         103     1.24948     1.22301  0.00446084
         104     1.22053     1.22299  0.00441801
         105     1.19922     1.22276  0.00438173
         106     1.21073     1.22265  0.00434187
         107     1.22628     1.22268  0.00430142
         108     1.20006     1.22247  0.00426669
         109     1.20019     1.22227  0.00423244
         110     1.20463     1.22211    0.004197
         111     1.20044     1.22191  0.00416373
         112      1.2012     1.22173  0.00413066
         113      1.1907     1.22145  0.00410322
         114     1.20613     1.22132  0.00406943
         115     1.20945     1.22122  0.00403535
         116     1.22418     1.22124  0.00400065
         117     1.22516     1.22128  0.00396659
         118     1.23559      1.2214  0.00393483
         119     1.24083     1.22156  0.00390515
         120     1.23631     1.22168  0.00387455
         121     1.23557      1.2218  0.00384422
         122      1.2746     1.22223    0.003837
         123     1.28587     1.22275  0.00384053
         124     1.27479     1.22317  0.00383242
         125     1.25385     1.22341  0.00380961
         126     1.24746      1.2236  0.00378415
         127     1.27251     1.22399   0.0037739
         128     1.28636     1.22448  0.00377575
         129     1.30279     1.22508  0.00379497
         130     1.30094     1.22567  0.00381037
         131     1.28113     1.22609  0.00380473
         132     1.26266     1.22637  0.00378598
         133     1.25674      1.2266   0.0037644
         134     1.22815     1.22661  0.00373632
         135     1.19785     1.22639  0.00371471
         136      1.1836     1.22608   0.0037007
         137     1.20147      1.2259  0.00367805
         138     1.19964     1.22571  0.00365631
         139     1.21148     1.22561  0.00363144
         140     1.20699     1.22547  0.00360794
         141     1.20172     1.22531  0.00358628
         142      1.2017     1.22514  0.00356487
         143     1.18288     1.22484  0.00355217
         144     1.17736     1.22451  0.00354278
         145     1.19563     1.22432  0.00352394
         146     1.20027     1.22415  0.00350365
         147      1.2137     1.22408  0.00348054
         148     1.21543     1.22402  0.00345751
         149     1.23027     1.22406  0.00343456
         150     1.26096     1.22431  0.00342046
         151     1.27574     1.22465  0.00341472
         152     1.27446     1.22498  0.00340794
         153     1.28407     1.22536  0.00340749
         154     1.27576     1.22569  0.00340104
         155     1.26309     1.22593  0.00338765
         156     1.26104     1.22616   0.0033734
         157     1.25489     1.22634  0.00335687
         158     1.24866     1.22648   0.0033386
         159     1.23078     1.22651  0.00331771
         160      1.2469     1.22664  0.00329942
         161     1.27594     1.22694   0.0032931
         162     1.28834     1.22732  0.00329451
         163     1.26816     1.22757  0.00328381
         164      1.2741     1.22786  0.00327602
         165     1.26945     1.22811  0.00326585
         166     1.26071      1.2283  0.00325208
         167      1.2708     1.22856  0.00324255
