#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0485345   0.0485345           0
           2   0.0490696    0.048802 0.000189195
           3   0.0509907   0.0495316  0.00060888
           4   0.0537855    0.050595    0.001028
           5   0.0553717   0.0515504  0.00118594
           6   0.0564595   0.0523686  0.00123878
           7   0.0572084     0.05306  0.00123983
           8   0.0576548   0.0536343   0.0012106
           9   0.0587158   0.0541989  0.00120055
          10   0.0602446   0.0548035  0.00122329
          11   0.0603322   0.0553061  0.00121094
          12   0.0589992   0.0556139  0.00114847
          13   0.0586827   0.0558499  0.00108411
          14   0.0596213   0.0561193  0.00103961
          15   0.0595621   0.0563488 0.000995313
          16   0.0601368   0.0565856  0.00096085
          17   0.0605886    0.056821 0.000932736
          18    0.060024    0.056999 0.000897731
          19   0.0595644    0.057134 0.000860575
          20    0.059509   0.0572528 0.000825699
          21   0.0595027   0.0573599 0.000793301
          22   0.0603476   0.0574957 0.000768778
          23   0.0594413   0.0575803 0.000739992
          24   0.0581713   0.0576049 0.000709568
          25   0.0574336   0.0575981 0.000681219
          26   0.0583486   0.0576269 0.000655629
          27   0.0575636   0.0576246 0.000631351
          28   0.0570443   0.0576039 0.000609143
          29   0.0576661    0.057606 0.000588142
          30   0.0586624   0.0576412  0.00056959
          31   0.0584845   0.0576684 0.000551865
          32   0.0592226    0.057717 0.000536752
          33   0.0600121   0.0577865 0.000524974
          34   0.0596743   0.0578421 0.000512461
          35   0.0589476   0.0578736 0.000498792
          36   0.0593143   0.0579137 0.000486539
          37   0.0595549    0.057958 0.000475407
          38   0.0601432   0.0580155 0.000466361
          39   0.0603283   0.0580748 0.000458158
          40   0.0607326   0.0581413 0.000451496
          41   0.0605721   0.0582006  0.00044436
          42   0.0587157   0.0582128 0.000433949
          43    0.058408   0.0582174 0.000423881
          44   0.0596556     0.05825 0.000415506
          45   0.0591511   0.0582701 0.000406754
          46   0.0585397   0.0582759 0.000397954
          47   0.0605071   0.0583234 0.000392308
          48    0.060698   0.0583729 0.000387242
          49   0.0609688   0.0584259 0.000382946
          50   0.0606544   0.0584704 0.000377872
          51    0.060893   0.0585179 0.000373436
          52   0.0611068   0.0585677 0.000369558
          53   0.0605044   0.0586043 0.000364387
          54   0.0609415   0.0586475 0.000360201
          55   0.0624104    0.058716 0.000360091
          56   0.0622291   0.0587787 0.000359084
          57   0.0609909   0.0588175 0.000354875
          58   0.0616363   0.0588661 0.000352069
          59   0.0620615   0.0589203 0.000350243
          60   0.0602571   0.0589425 0.000345113
          61   0.0605819   0.0589694   0.0003405
          62   0.0620291   0.0590188 0.000338566
          63   0.0618928   0.0590644 0.000336251
          64   0.0612836   0.0590991  0.00033278
          65   0.0603294    0.059118 0.000328199
          66   0.0609164   0.0591452 0.000324355
          67   0.0619433    0.059187 0.000322191
          68   0.0614579   0.0592204 0.000319179
          69   0.0609729   0.0592458 0.000315562
          70   0.0607593   0.0592674 0.000311794
          71   0.0609745   0.0592915 0.000308328
          72   0.0611776   0.0593177 0.000305157
          73   0.0608437   0.0593386 0.000301692
          74   0.0610194   0.0593613 0.000298469
          75   0.0609333   0.0593822 0.000295224
          76   0.0606275   0.0593986 0.000291794
          77   0.0606556   0.0594149 0.000288461
          78   0.0612621   0.0594386 0.000285733
          79   0.0628479   0.0594818 0.000285356
          80   0.0637073   0.0595346 0.000286636
          81   0.0633745    0.059582 0.000286991
          82   0.0628166   0.0596214 0.000286189
          83   0.0631016   0.0596634 0.000285796
          84   0.0618691   0.0596896 0.000283597
          85   0.0604336   0.0596984 0.000280396
          86   0.0602367   0.0597046 0.000277205
          87   0.0601655   0.0597099  0.00027407
          88    0.059852   0.0597116  0.00027096
          89   0.0594506   0.0597086 0.000267931
          90   0.0601357   0.0597134 0.000264996
          91   0.0589427   0.0597049  0.00026222
          92   0.0577887   0.0596841 0.000260195
          93    0.057696   0.0596627 0.000258274
          94   0.0581387   0.0596465 0.000256035
