#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.45698     1.45698           0
           2      1.4735     1.46524  0.00583982
           3     1.53132     1.48726    0.018402
           4     1.61421       1.519   0.0307562
           5     1.66341     1.54788   0.0356759
           6     1.69707     1.57275   0.0374042
           7     1.71723     1.59339   0.0373232
           8     1.73263     1.61079    0.036491
           9     1.76521     1.62795   0.0362461
          10     1.80901     1.64606   0.0368673
          11     1.81218     1.66116   0.0364778
          12     1.77519     1.67066   0.0346538
          13     1.76436     1.67787   0.0327292
          14     1.79003     1.68588   0.0313566
          15     1.78963      1.6928   0.0300192
          16     1.80494     1.69981   0.0289498
          17     1.82233     1.70701   0.0281297
          18     1.80354     1.71238   0.0270734
          19      1.7895     1.71644    0.025951
          20     1.78703     1.71997   0.0248923
          21     1.78825     1.72322   0.0239184
          22     1.81229     1.72727   0.0231713
          23     1.78216     1.72965   0.0222865
          24     1.74899     1.73046   0.0213724
          25     1.72324     1.73017   0.0205195
          26     1.75151     1.73099   0.0197467
          27     1.72919     1.73092   0.0190154
          28     1.71373     1.73031   0.0183462
          29     1.73303      1.7304   0.0177138
          30     1.76189     1.73145   0.0171544
          31     1.75636     1.73226   0.0166199
          32     1.78059     1.73377    0.016169
          33     1.80113     1.73581   0.0158074
          34     1.79217     1.73747   0.0154291
          35     1.77087     1.73842   0.0150178
          36     1.78163     1.73962   0.0146485
          37     1.78908     1.74096   0.0143135
          38     1.80685     1.74269   0.0140414
          39     1.80874     1.74438   0.0137832
          40     1.82552     1.74641    0.013587
          41     1.81949      1.7482    0.013372
          42     1.76467     1.74859   0.0130594
          43     1.75575     1.74875   0.0127567
          44     1.79105     1.74972    0.012503
          45     1.77844     1.75035   0.0122414
          46     1.75903     1.75054   0.0119768
          47     1.81629     1.75194   0.0118033
          48     1.82441     1.75345   0.0116536
          49     1.83098     1.75503   0.0115227
          50     1.82407     1.75641   0.0113747
          51     1.83094     1.75788   0.0112451
          52     1.83221     1.75931   0.0111193
          53     1.81926     1.76044   0.0109669
          54     1.83073     1.76174   0.0108408
          55     1.87548     1.76381   0.0108391
          56     1.86983      1.7657   0.0108097
          57      1.8337     1.76689   0.0106857
          58     1.85108     1.76834   0.0105995
          59     1.86234     1.76994   0.0105389
          60     1.81302     1.77065   0.0103877
          61     1.82098     1.77148   0.0102501
          62     1.86323     1.77296   0.0101911
          63     1.85784     1.77431    0.010118
          64     1.84007     1.77533   0.0100119
          65     1.81274     1.77591  0.00987441
          66     1.82964     1.77672   0.0097583
          67     1.86124     1.77799  0.00969385
          68     1.84713       1.779  0.00960447
          69      1.8327     1.77978  0.00949675
          70     1.82437     1.78042  0.00938242
          71     1.83093     1.78113  0.00927721
          72     1.83933     1.78194  0.00918351
          73     1.82888     1.78258  0.00908019
          74     1.83359     1.78327  0.00898361
          75     1.83097     1.78391  0.00888631
          76     1.82066     1.78439  0.00878253
          77     1.82177     1.78487  0.00868188
          78     1.83991     1.78558   0.0085992
          79     1.88883     1.78689  0.00858909
          80     1.91478     1.78849  0.00862922
          81     1.90585     1.78993  0.00864348
          82     1.88735     1.79112  0.00861932
          83     1.89521     1.79238  0.00860621
          84     1.85842     1.79316   0.0085396
          85      1.8153     1.79342  0.00844311
          86     1.80902      1.7936  0.00834688
          87     1.80597     1.79375  0.00825215
          88     1.80036     1.79382  0.00815871
          89     1.78707     1.79375   0.0080674
          90     1.80734      1.7939  0.00797917
          91     1.76839     1.79362  0.00789641
          92      1.7365       1.793  0.00783495
          93     1.73372     1.79236  0.00777658
          94     1.74509     1.79186  0.00771009
          95     1.75354     1.79145  0.00763948
          96     1.78103     1.79134  0.00756067
          97     1.81031     1.79154  0.00748525
          98     1.83605     1.79199  0.00742264
          99     1.85258     1.79261  0.00737285
         100     1.85725     1.79325  0.00732741
         101     1.84604     1.79377  0.00727347
